Version,Gen.,Change,n,ΔJ (mean±SD),p,d,Verdict,Note
v5,0,noise-aware rollback + confirm re-eval + detrended effect ledger + phase schedule + curriculum release invariant,9,+0.440±0.629,0.035,+0.70,accepted (baseline),vs none; naive escape 1/3
v6,1 (LLM),from v5: STUCK protocol paragraph in system.md,9,-0.165±0.293,0.935,-0.56,rejected,driver: pooled dJ <= 0
v7,2 (LLM),from v5: do not lower target_ms while J is rising (2+ reports),8,+0.221±0.535,0.140,+0.41,accepted,one naive escape drove the result
v7,-,"same, re-measured on the corrected PPO stack",9,+0.363±0.551,0.084; W 0.020,+0.66,-,vs none; 7/9 pairs improved
v7p,2 (hand),from v7: cross-run playbook + settled_reports 2 + ledger veto 3 + curriculum lock,9,+0.398±0.663,0.055,+0.60,accepted (incumbent),naive escape 3/3; vs none dJ +0.762
v8,3 (LLM),from v7p: max_params 3 -> 2,9,-0.375±0.675,0.933,-0.56,rejected,decision-layer overrides were lost (driver defect); naive escape 1/3
v9,3 (LLM),from v7p: intervention cap 1 per 3 reports at success 0.2-0.8,9,-0.237±0.515,0.898,-0.46,rejected,same driver defect; naive escape 2/3
v10,3 (LLM),from v7p: release_min_success 0.3 -> 0.5,9,-0.180±0.532,0.829,-0.34,rejected,inherited overrides restored; naive escape 2/3; stairs +/-0
v11,4 (LLM),from v7p: raise-rate rule (tracking < 0.8 and success < 0.85),9,-0.143±0.545,0.773,-0.26,rejected,naive escape 2/3 (seed 1 floor); stairs +0.099
v12,5 (LLM),from v7p: noise_z 2.0 -> 2.5,9,-0.094±0.593,0.676,-0.16,rejected,naive escape 2/3 (seed 1 floor); stairs +0.266 with 0.3 target ramp
v13,6 (LLM),from v7p: max_params 3 -> 2,-,-,-,-,not run,driver stopped after v12 verdict (3 runs killed); v13 == v8 change
