Item,v1,v2,v3,automated candidates
Internal Iterations,internal v1–v3 (Sep 4–5),internal v4–v5 (Sep 5–8),internal v5p–v7p (Sep 8–9),"internal v6, v8, v9, v10, v11, v12 (Sep 8–9)"
LLM,GPT-5.4 (API),"Qwen3.8-27B (local, 8-bit)","Qwen3.8-27B (local, 4-bit)",meta-LLM = coach LLM
Decision Layer Added,range/sign/step guardrails; rollback at ΔJ < −0.05; best-snapshot restore; curriculum lever,noise-aware τ from SE and process noise; confirm re-evaluation; restore ≤ 1; detrended effect ledger; phase schedule; curriculum release invariant; headroom,ledger veto; curriculum lock in the release phase; settled effect; cross-run playbook; synchronous coach; bounded KL β,"one prompt or threshold change each (max_params, intervention cap, release threshold, raise rule, noise_z)"
n Pairs,30,9,9,6 × 9 vs incumbent
PPO J,0.809 ± 0.560,0.682 ± 0.578,0.735 ± 0.553,
LLM-PPO J,1.197 ± 0.577,1.121 ± 0.626,1.413 ± 0.415,
Paired ΔJ,0.389,0.440,0.678,-0.375 … -0.094
95% CI,± 0.312,± 0.483,± 0.626,
p (paired t),0.016,0.069,0.037,0.68 … 0.94 (one-sided)
p (Wilcoxon),0.038,0.039,0.039,
Cohen's d,0.47,0.70,0.83,-0.56 … -0.16
Naive Escape,8 / 10,1 / 3,3 / 3,all rejected
